Rank,Account,本家(我方),小軸(我方),勝負,先後攻,本家(敵方),小軸(敵方),備註,Date,Season
金5,儀式,御巫,無,X,後攻,冰結界,無,,2024/8/3,S32
金5,儀式,御巫,無,O,先攻,電子龍,無,,2024/8/3,S32
白金5,本帳,珠淚,荷魯斯,O,後攻,聖邪璃琴,無,,2024/8/3,S32
白金5,本帳,珠淚,荷魯斯,O,後攻,百夫,無,,2024/8/3,S32
鑽5,主流,R-ACE,無,O,後攻,炎獸,無,,2024/8/3,S32
鑽5,主流,R-ACE,無,X,後攻,恐啡肽,無,,2024/8/3,S32
鑽5,主流,R-ACE,無,X,後攻,珠淚,荷魯斯,60 14+64+荷魯斯,2024/8/3,S32
鑽4,尤,雷精,鐵獸,O,後攻,烙印,無,60烙,2024/8/3,S32
鑽4,尤,雷精,鐵獸,X,後攻,百夫,無,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,X,後攻,破械,無,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,O,後攻,尤貝爾,破械,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,X,後攻,64壞,無,次元,2024/8/3,S32
鑽4,尤,雷精,鐵獸,O,先攻,64壞,荷魯斯,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,O,先攻,古生物,無,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,O,後攻,尤貝爾,雷精,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,X,後攻,珠淚,64壞,,2024/8/3,S32
金4,烙印,烙印,無,O,先攻,白龍,無,,2024/8/3,S32
金4,烙印,烙印,無,O,後攻,相劍,無,,2024/8/3,S32
金4,烙印,烙印,無,X,先攻,銀河眼,無,銀河眼後攻FTK,2024/8/3,S32
金5,擺盪,霸王,魔術師,O,先攻,燒血,無,,2024/8/3,S32
金5,擺盪,霸王,魔術師,O,先攻,魔術師,無,,2024/8/3,S32
鑽4,尤,雷精,鐵獸,O,先攻,炎王,蛇眼,,2024/8/4,S32
金5,儀式,御巫,無,X,先攻,教導,無,被FTK,2024/8/4,S32
